gene_id,SRR1778917,SRR1778919,SRR1778921,SRR1778922,SRR1778923,SRR1778925,SRR1778927,SRR1778929,SRR1778930,SRR1778931,SRR1778932
gene-RGQ29_000042,17969,13044,41864,28182,41426,7871,9058,4088,6204,3638,9624
gene-RGQ29_000043,940,651,2064,1260,1956,438,461,238,335,186,544
gene-RGQ29_000044,1453,758,3351,2275,2703,630,719,385,642,291,816
gene-RGQ29_000045,3502,3291,9114,5442,8612,1549,1884,868,1357,721,2100
gene-RGQ29_000046,1795,1648,4492,2881,4246,786,934,422,695,337,1029
gene-RGQ29_000047,3730,2344,8734,5967,8549,1624,1900,993,1605,800,2262
gene-RGQ29_000048,6135,4004,14224,9094,12214,2746,3126,1539,2184,1237,3460
gene-RGQ29_000049,1493,793,3445,2311,2775,648,739,389,641,293,825
gene-RGQ29_000050,3506,3308,9170,5485,8659,1559,1852,865,1356,719,2130
gene-RGQ29_000051,1795,1664,4514,3050,4937,787,937,407,673,330,1018
gene-RGQ29_000052,3811,2368,8995,6090,8821,1687,1953,1023,1621,824,2331
gene-RGQ29_000053,1177,1221,1192,2478,2791,421,583,282,351,305,381
gene-RGQ29_000054,1624,804,3473,2343,2878,668,733,400,666,299,832
gene-RGQ29_000055,3538,3279,9214,5476,8575,1567,1868,879,1368,724,2139
gene-RGQ29_000056,1792,1702,4576,3018,5032,778,935,411,670,342,1032
gene-RGQ29_000057,3962,2450,10098,6207,9125,1707,2034,1015,1654,833,2373
gene-RGQ29_000058,8613,4148,12783,8985,15928,3684,3385,1149,2213,1343,3722
gene-RGQ29_000059,1179,1239,1192,2442,2791,416,595,280,348,307,382
gene-RGQ29_000060,1014,679,2222,1334,2101,462,497,266,358,202,603
gene-RGQ29_000061,1536,788,3558,2377,2936,677,751,400,663,303,854
gene-RGQ29_000062,3573,3308,9158,5477,8546,1554,1884,890,1377,729,2129
gene-RGQ29_000063,1800,1715,4564,2888,4248,773,919,427,681,345,1037
gene-RGQ29_000064,4013,2464,9555,6417,9460,1751,2100,1063,1682,842,2485
gene-RGQ29_000065,1932,1662,2695,3495,4367,694,914,433,555,430,735
gene-RGQ29_000066,1035,666,2280,1364,2169,472,507,265,358,204,609
gene-RGQ29_000067,1552,1461,4146,2626,4472,663,796,360,598,285,863
gene-RGQ29_000068,3510,2213,8384,5577,8178,1582,1797,906,1488,749,2067
gene-RGQ29_000069,8371,4119,12305,8721,15401,3597,3329,1129,2131,1303,3611
gene-RGQ29_000070,1156,1227,1180,2472,2791,407,586,284,334,296,380
gene-RGQ29_000071,1431,720,3362,2275,2867,627,712,378,638,277,823
gene-RGQ29_000072,3462,3391,8898,5347,8207,1545,1858,883,1352,691,2104
gene-RGQ29_000073,1829,1743,4666,2995,5138,808,948,422,701,347,1045
gene-RGQ29_000074,4831,2861,11602,7698,11322,2103,2561,1262,2042,982,2983
gene-RGQ29_000075,1418,2540,5111,2163,2548,760,727,396,634,272,874
gene-RGQ29_000076,161,463,270,275,366,0,85,0,46,0,56
gene-RGQ29_000077,68,86,125,90,101,42,31,9,20,14,31
gene-RGQ29_000387,1627,293,919,3405,788,3393,1226,763,454,1808,1137
gene-RGQ29_000390,88,84,216,168,131,227,257,151,104,161,64
gene-RGQ29_000391,223,426,739,625,147,792,576,511,419,649,377
gene-RGQ29_000389,450,428,1348,1592,487,790,1120,1018,727,1053,1190
gene-RGQ29_000388,13,2,33,34,11,8,10,12,8,25,5
gene-RGQ29_000392,821,60,13,2957,392,175,2265,275,20,1972,0
gene-RGQ29_000396,149,87,212,181,55,80,165,89,85,113,212
gene-RGQ29_000397,51,4293,184,113,3,231,227,47,42,255,113
gene-RGQ29_000398,27,89,61,207,29,233,101,52,41,190,76
gene-RGQ29_000399,38,10,7,76,1,13,9,4,4,40,68
gene-RGQ29_000400,193,1764,4377,2788,702,837,3111,2497,1746,2187,1490
gene-RGQ29_000401,420,56,539,2168,706,233,1304,291,256,1392,517
gene-RGQ29_000402,110,197,472,667,173,221,283,336,209,504,262
gene-RGQ29_000404,33,0,0,454,32,2336,27,0,0,251,0
gene-RGQ29_000407,0,13,31,39,0,4,12,10,11,53,14
gene-RGQ29_000408,33,122,130,281,18,90,77,82,59,276,25
gene-RGQ29_000413,151,65,120,291,86,190,136,101,51,171,193
gene-RGQ29_000414,141,127,89,395,123,98,221,101,43,165,122
gene-RGQ29_000415,0,0,0,0,0,0,0,0,0,0,0
gene-RGQ29_000416,225,150,510,937,205,454,456,288,257,885,389
gene-RGQ29_000417,198,519,306,555,143,727,249,188,90,335,115
gene-RGQ29_000418,544,698,1312,1781,329,1676,981,1042,707,1685,682
gene-RGQ29_000419,125,1055,646,419,201,2430,874,438,265,1166,628
gene-RGQ29_000420,0,57,0,0,0,0,0,0,0,0,0
gene-RGQ29_000422,365,204,746,1483,316,1320,603,552,346,1080,778
gene-RGQ29_000423,9,0,0,0,0,6370,11,0,0,0,0
gene-RGQ29_000424,131,0,0,67,52,15,49,0,0,42,29
gene-RGQ29_000425,44,416,1757,169,200,1049,389,900,647,130,4686
gene-RGQ29_000427,14,7,30,58,3,22,26,20,18,128,40
gene-RGQ29_000430,398,31,630,3001,583,283,1457,346,278,1788,358
gene-RGQ29_000431,32,1743,299,90,6,13,46,197,126,86,242
gene-RGQ29_000432,44,0,25,111,71,33,337,28,36,66,10
gene-RGQ29_000433,78,0,91,232,149,48,846,71,121,159,25
gene-RGQ29_000434,3224,11965,809,744,282,1704,862,364,181,595,232
gene-RGQ29_000435,7,8,3,8,3,5,6,2,2,2,13
gene-RGQ29_000436,47,45,110,191,27,122,98,88,39,196,91
gene-RGQ29_000437,128,48,85,669,16,55,95,55,43,276,9
gene-RGQ29_000438,37,17,109,107,15,38,69,80,33,86,72
gene-RGQ29_000440,416,160,396,610,271,1001,410,317,184,526,270
gene-RGQ29_000441,0,0,2,0,15,30341,65,0,3,99,0
gene-RGQ29_000443,99,13,115,132,38,517,126,67,50,218,54
gene-RGQ29_000444,20,0,196,35,20,33,183,57,92,38,44
gene-RGQ29_000445,246,211,439,579,127,576,260,386,183,468,453
gene-RGQ29_000446,43,38,76,30,7,104,21,72,22,40,75
gene-RGQ29_000447,97,261,739,889,112,736,496,431,351,1029,973
gene-RGQ29_000439,19502,5039,24365,42377,10090,23811,20671,27245,13805,42073,20460
gene-RGQ29_000450,283,313,1847,1675,389,624,1042,1001,835,1476,513
