gene_id,SRR5986737,SRR5986738,SRR5986739,SRR5986740,SRR5986741
gene-LOC111991616|LOC111991616,921,1263,698,2645,111
gene-LOC111991610|LOC111991610,19009,32122,62826,18734,101675
gene-LOC111991620|LOC111991620,35591,48836,21400,48394,22083
gene-LOC111991619|LOC111991619,5706,42705,22003,5709,4
gene-LOC111991614|LOC111991614,3489,4735,10709,7543,1057
gene-LOC112040966|LOC112040966,68,1158,22,836,0
gene-LOC136062594|LOC136062594,61,377,10,446,0
gene-LOC111991609|LOC111991609,2664,2049,2025,1467,2616
gene-LOC112040969|LOC112040969,2444,3608,4167,3814,504
gene-LOC112034995|LOC112034995,22220,15115,15467,6287,20
gene-LOC112034707|LOC112034707,13341,9572,7935,13405,2157
gene-LOC112015553|LOC112015553,2072,3360,6811,7104,24
gene-LOC112031864|LOC112031864,1,1,0,0,0
gene-LOC136062749|LOC136062749,832,5569,1734,2347,406
gene-LOC112013619|LOC112013619,1377,1398,265,521,603
gene-LOC112015521|LOC112015521,273685,392344,273408,235328,13300
gene-LOC112004842|LOC112004842,21026,19404,119,5136,0
gene-LOC112041130|LOC112041130,161063,82509,43801,393545,10793
gene-LOC112032934|LOC112032934,61027,80306,40267,29376,3340
gene-LOC112032930|LOC112032930,0,4144,123,13,4583
gene-LOC112032923|LOC112032923,674,5517,948,71,13
gene-LOC112030117|LOC112030117,31,47,39,38,0
gene-LOC112030118|LOC112030118,11,76,44,53,2
gene-LOC112032935|LOC112032935,18064,3761,2738,572,8
gene-LOC112018544|LOC112018544,0,0,0,0,0
gene-LOC112018549|LOC112018549,40768,4228,5044,8337,285
gene-LOC112003640|LOC112003640,0,554,8,62,0
gene-LOC112018538|LOC112018538,9372,11820,8168,9221,16100
gene-LOC112003643|LOC112003643,37,26,69,42,0
gene-LOC112003639|LOC112003639,1156,6528,1968,1362,414
gene-LOC112003642|LOC112003642,0,24,225,17,0
gene-LOC112003638|LOC112003638,44665,102418,85726,57923,23919
gene-LOC112012159|LOC112012159,897,13,11611,166,0
gene-LOC112012137|LOC112012137,1590,6643,181,1075,0
